generated_at,instrument,bar,candle_ts,last,kappa,n_eff,n_turn,consistency,c_null,c_ratio,efficiency_ratio,state
2026-09-19T11:19:39+00:00,BTC-USDT,5m,1789816200000,81312.5,1.257451,4.09,8.12,0.0024,0.01771,0.136,0.1403,sharp
2026-09-19T11:19:39+00:00,BTC-USDT,15m,1789815600000,81312.5,1.245627,4.17,9.21,0.006,0.01771,0.339,0.0647,sharp
2026-09-19T11:19:39+00:00,BTC-USDT,1H,1789812000000,81222.3,1.130064,5.41,11.54,0.0218,0.01771,1.231,0.4658,normal
2026-09-19T11:19:39+00:00,BTC-USDT,4H,1789790400000,81095.3,1.152528,5.05,10.05,0.0242,0.01771,1.367,0.0859,normal
2026-09-19T11:19:39+00:00,BTC-USDT,1D,1789660800000,80728.7,1.179007,4.73,10.75,0.0479,0.01771,2.705,0.2478,sharp
2026-09-19T11:44:32+00:00,BTC-USDT,5m,1789817700000,81274.5,1.258738,4.08,7.93,0.0044,0.01771,0.248,0.0903,sharp
2026-09-19T11:44:32+00:00,BTC-USDT,15m,1789816500000,81268.8,1.243393,4.18,9.19,0.0003,0.01771,0.017,0.0226,sharp
2026-09-19T11:44:32+00:00,BTC-USDT,1H,1789812000000,81222.3,1.130064,5.41,11.54,0.0218,0.01771,1.231,0.4658,normal
2026-09-19T11:44:32+00:00,BTC-USDT,4H,1789790400000,81095.3,1.152528,5.05,10.05,0.0242,0.01771,1.367,0.0859,normal
2026-09-19T11:44:32+00:00,BTC-USDT,1D,1789660800000,80728.7,1.179007,4.73,10.75,0.0479,0.01771,2.705,0.2478,sharp
2026-09-19T12:16:16+00:00,BTC-USDT,5m,1789819800000,81358.3,1.254767,4.11,8.32,0.0273,0.01771,1.542,0.0653,sharp
2026-09-19T12:16:16+00:00,BTC-USDT,15m,1789819200000,81358.3,1.235034,4.24,9.73,0.006,0.01771,0.339,0.039,sharp
2026-09-19T12:16:16+00:00,BTC-USDT,1H,1789815600000,81308.2,1.129627,5.42,11.44,0.0051,0.01771,0.288,0.4632,normal
2026-09-19T12:16:16+00:00,BTC-USDT,4H,1789804800000,81308.2,1.148028,5.12,9.9,0.0275,0.01771,1.553,0.1351,normal
2026-09-19T12:16:16+00:00,BTC-USDT,1D,1789660800000,80728.7,1.179007,4.73,10.75,0.0479,0.01771,2.705,0.2478,sharp
2026-09-19T12:52:58+00:00,BTC-USDT,5m,1789821900000,81275.1,1.257095,4.09,8.59,0.0094,0.01771,0.531,0.0683,sharp
2026-09-19T12:52:58+00:00,BTC-USDT,15m,1789821000000,81290.3,1.239995,4.2,9.18,0.0095,0.01771,0.536,0.0112,sharp
2026-09-19T12:52:58+00:00,BTC-USDT,1H,1789815600000,81308.2,1.129627,5.42,11.44,0.0051,0.01771,0.288,0.4632,normal
2026-09-19T12:52:58+00:00,BTC-USDT,4H,1789804800000,81308.2,1.148028,5.12,9.9,0.0275,0.01771,1.553,0.1351,normal
2026-09-19T12:52:58+00:00,BTC-USDT,1D,1789660800000,80728.7,1.179007,4.73,10.75,0.0479,0.01771,2.705,0.2478,sharp
2026-09-19T13:19:19+00:00,BTC-USDT,5m,1789823400000,81247.5,1.271495,4.01,8.51,0.0213,0.01771,1.203,0.0066,sharp
2026-09-19T13:19:19+00:00,BTC-USDT,15m,1789822800000,81247.5,1.245841,4.16,9.19,0.0045,0.01771,0.254,0.003,sharp
2026-09-19T13:19:19+00:00,BTC-USDT,1H,1789819200000,81341.5,1.129556,5.42,11.41,0.0025,0.01771,0.141,0.4634,normal
2026-09-19T13:19:19+00:00,BTC-USDT,4H,1789804800000,81308.2,1.148028,5.12,9.9,0.0275,0.01771,1.553,0.1351,normal
2026-09-19T13:19:19+00:00,BTC-USDT,1D,1789660800000,80728.7,1.179007,4.73,10.75,0.0479,0.01771,2.705,0.2478,sharp
2026-09-19T13:37:24+00:00,BTC-USDT,5m,1789824600000,81272.4,1.275637,3.99,8.12,0.026,0.01771,1.468,0.0344,sharp
2026-09-19T13:37:24+00:00,BTC-USDT,15m,1789823700000,81239.4,1.243034,4.18,9.21,0.0066,0.01771,0.373,0.0266,sharp
2026-09-19T13:37:24+00:00,BTC-USDT,1H,1789819200000,81341.5,1.129556,5.42,11.41,0.0025,0.01771,0.141,0.4634,normal
2026-09-19T13:37:24+00:00,BTC-USDT,4H,1789804800000,81308.2,1.148028,5.12,9.9,0.0275,0.01771,1.553,0.1351,normal
2026-09-19T13:37:24+00:00,BTC-USDT,1D,1789660800000,80728.7,1.179007,4.73,10.75,0.0479,0.01771,2.705,0.2478,sharp
2026-09-19T13:57:06+00:00,BTC-USDT,5m,1789825800000,81338.1,1.28014,3.96,8.44,0.015,0.01771,0.847,0.0111,sharp
2026-09-19T13:57:06+00:00,BTC-USDT,15m,1789824600000,81270.6,1.24426,4.17,9.16,0.0012,0.01771,0.068,0.0293,sharp
2026-09-19T13:57:06+00:00,BTC-USDT,1H,1789819200000,81341.5,1.129556,5.42,11.41,0.0025,0.01771,0.141,0.4634,normal
2026-09-19T13:57:06+00:00,BTC-USDT,4H,1789804800000,81308.2,1.148028,5.12,9.9,0.0275,0.01771,1.553,0.1351,normal
2026-09-19T13:57:06+00:00,BTC-USDT,1D,1789660800000,80728.7,1.179007,4.73,10.75,0.0479,0.01771,2.705,0.2478,sharp
2026-09-19T22:24:29+00:00,BTC-USDT,5m,1789856100000,81055.2,1.267358,4.03,7.96,0.0189,0.01771,1.068,0.2403,sharp
2026-09-19T22:24:29+00:00,BTC-USDT,15m,1789855200000,81005.9,1.244189,4.18,7.81,0.0054,0.01771,0.305,0.0224,sharp
2026-09-19T22:24:29+00:00,BTC-USDT,1H,1789851600000,81100.5,1.132619,5.36,11.47,0.0118,0.01771,0.664,0.4217,normal
2026-09-19T22:24:29+00:00,BTC-USDT,4H,1789833600000,81365.7,1.149429,5.1,9.79,0.0149,0.01771,0.839,0.1512,normal
2026-09-19T22:24:29+00:00,BTC-USDT,1D,1789747200000,81647.3,1.176812,4.75,10.61,0.0349,0.01771,1.972,0.2739,sharp
2026-09-20T00:02:29+00:00,BTC-USDT,5m,1789862100000,81265.8,1.255451,4.1,8.02,0.0049,0.01771,0.276,0.0819,sharp
2026-09-20T00:02:29+00:00,BTC-USDT,15m,1789861500000,81265.8,1.241532,4.19,7.99,0.0019,0.01771,0.107,0.0389,sharp
2026-09-20T00:02:29+00:00,BTC-USDT,1H,1789858800000,81265.8,1.131173,5.39,11.5,0.0037,0.01771,0.211,0.4132,normal
2026-09-20T00:02:29+00:00,BTC-USDT,4H,1789848000000,81265.8,1.150601,5.08,9.83,0.0056,0.01771,0.316,0.1444,normal
2026-09-20T00:02:29+00:00,BTC-USDT,1D,1789747200000,81647.3,1.176812,4.75,10.61,0.0349,0.01771,1.972,0.2739,sharp
2026-09-20T02:08:27+00:00,BTC-USDT,5m,1789869600000,81095.0,1.268908,4.02,7.38,0.0165,0.01771,0.93,0.0029,sharp
2026-09-20T02:08:27+00:00,BTC-USDT,15m,1789868700000,81104.8,1.232853,4.25,8.4,0.0164,0.01771,0.926,0.0489,sharp
2026-09-20T02:08:27+00:00,BTC-USDT,1H,1789866000000,81104.8,1.131207,5.39,11.86,0.0382,0.01771,2.16,0.4207,normal
2026-09-20T02:08:27+00:00,BTC-USDT,4H,1789848000000,81265.8,1.150601,5.08,9.83,0.0056,0.01771,0.316,0.1444,normal
2026-09-20T02:08:27+00:00,BTC-USDT,1D,1789747200000,81647.3,1.176812,4.75,10.61,0.0349,0.01771,1.972,0.2739,sharp
